event_name,venue_name,latitude,longitude,date,source,genre,price,url,venue_id,event_id
Mods Mayday,Round Chapel,51.552749,-0.04993,2022-05-02,Ticketmaster,Rock,TBC,https://www.ticketweb.uk/event/mods-mayday-round-chapel-tickets/11770435?REFERRAL_ID=tmfeed,KovZ9177px0,G5dFZ975dZstp
PITBULL - Official Premium Ticket and Hotel Experiences,Hyde Park,51.507432,-0.165708,2026-07-10,Ticketmaster,Pop,TBC,https://easol.link/46mx,KovZ9177gxV,16djZbVF7G7ncoa
The Book Of Mormon,Prince of Wales Theatre,51.510009,-0.131809,2026-07-13,Ticketmaster,Theatre,TBC,https://theatre.ticketmaster.co.uk/book/1GZHW-the-book-of-mormon/#perf=1GZHW-16R&date=2026-07-13&time=7.30PM,KovZ9177OH0,17u8v0G65IKnhMU
Old Rope - Monday 13th July,The Comedy Store,51.50998051,-0.13233095,2026-07-13,Ticketmaster,Comedy,TBC,https://www.universe.com/events/old-rope-monday-13th-july-tickets-H0FBC2?ref=ticketmaster,KovZ91777y7,LvZ18QhkXwYcuI8ZHvd2k
The Mousetrap,St Martin's Theatre,51.512848,-0.127672,2026-07-13,Ticketmaster,Theatre,TBC,https://www.ticketmaster.co.uk/the-mousetrap-london-13-07-2026/event/Z3r9uZKbZL4Zef7CNZde,KovZ9177-37,Z3r9uZKbZL4Zef7CNZde
1536,Ambassadors Theatre,51.513006,-0.128026,2026-07-13,Ticketmaster,Theatre,TBC,https://www.ticketmaster.co.uk/1536-london-13-07-2026/event/Z3r9uZKbZL4Ze3bd5Zd1,KovZ9177xH7,Z3r9uZKbZL4Ze3bd5Zd1
Les Misérables,Sondheim Theatre,51.512116,-0.133106,2026-07-13,Ticketmaster,Theatre,TBC,https://www.ticketmaster.co.uk/les-miserables-london-13-07-2026/event/ZKr9uZKbZL4Zeo-b6ZeAN,KovZ9177OX7,ZKr9uZKbZL4Zeo-b6ZeAN
Beetlejuice,Prince Edward Theatre,51.513763,-0.130964,2026-07-13,Ticketmaster,Theatre,TBC,https://theatre.ticketmaster.co.uk/book/1HM82-beetlejuice/#perf=1HM82-1Q&date=2026-07-13&time=7.30PM,KovZ9177xp7,1AdfZbgGkBi4bej
Cyrano de Bergerac,Noel Coward Theatre,51.5142805,-0.1284654,2026-07-13,Ticketmaster,Theatre,TBC,https://theatre.ticketmaster.co.uk/book/1HUCK-cyrano-de-bergerac/#perf=1HUCK-X&date=2026-07-13&time=7.30PM,KovZ9177OEf,17u8v0G65rt6NOa
Mamma Mia!,Novello Theatre,51.511933,-0.119423,2026-07-13,Ticketmaster,Theatre,TBC,https://www.ticketmaster.co.uk/mamma-mia-london-13-07-2026/event/ZKr9uZKbZL4Ze3A4LZekG,KovZ9177-K0,ZKr9uZKbZL4Ze3A4LZekG
