id,name,date,city,genres_bucketed,source
LvZ18QxAj1bZeL8vGSGnc,EVERYWHERE AT ONCE: Dewin,2026-06-28,Narberth,['Rock/Indie'],ticketmaster
16djZbVF7G7ncoa,PITBULL - Official Premium Ticket and Hotel Experiences,2026-07-10,London,['Pop'],ticketmaster
16djZbzJfG7RfqJ,Wireless 2026 - VIP Ticket,2026-07-10,London,['Unclassified'],ticketmaster
1AMZkCvGkdo0G55,2 Day (Fri + Sat) - Wireless 2026,2026-07-10,London,['Unclassified'],ticketmaster
1AMZkCvGkdsKWBf,Souvenir Ticket - Wireless 2026,2026-07-10,London,['Unclassified'],ticketmaster
1AMZkCvGke-Tboa,"3 Day (Fri, Sat, Sun) - Wireless 2026",2026-07-10,London,['Unclassified'],ticketmaster
1AMZkCvGkeUxty9,2 Day (Fri + Sun) - Wireless 2026,2026-07-10,London,['Unclassified'],ticketmaster
1AMZkoMGke0Kole,Wireless 2026 - The Lounge,2026-07-10,London,['Unclassified'],ticketmaster
G5vHZbRBbBovA,Lost Minds Festival 2026 Payment Plan,2026-07-11,Newcastle,['Electronic/Dance'],ticketmaster
G5vHZbRE2vvoV,Lost Minds Festival 2026,2026-07-11,Newcastle,['Pop'],ticketmaster
1AMZkCvGke03zh7,Saturday Day - Wireless 2026,2026-07-11,London,['Unclassified'],ticketmaster
LvZ18QqzT7Dg6MZvqS5SO,F&NMusic Present's R&B Karaoke Brunch Feat Versions,2026-07-11,London,['Hip-Hop/Urban'],ticketmaster
LvZ18Qb93a-3Bn8Zlu5Ue,Rapid Aye Movement,2026-07-11,Newcastle Upon Tyne,['Rock/Indie'],ticketmaster
LvZ18Qj1kRInnM8Z0Agsf,The Saturday Brunch Club,2026-07-11,London,['Non-Music/Other'],ticketmaster
17u8v0G6uMlRpNH,Belle Livingstone's 58th Street Country Club,2026-07-11,London,['Jazz/Blues/Soul'],ticketmaster
1AdjZbwGkwR6s6b,Amex Presents BST Hyde Park - Lewis Capaldi - Ultimate Bar Packages,2026-07-11,London,['Unclassified'],ticketmaster
1kuYvNGtGA1e_qM,Iron Maiden - EDDFEST,2026-07-11,Stevenage,['Metal/Punk'],ticketmaster
LvZ18Q9IT_UBt9ZZ0lAeZ,Kaleidoscope Festival - 2026,2026-07-11,London,['Unclassified'],ticketmaster
LvZ18QreRQqzqTOZ0-3GN,Saturday Jazz Lunch | Frank & Dean,2026-07-11,London,['Jazz/Blues/Soul'],ticketmaster
1AMZkGVGkdNTc3Z,Iron Maiden - Official Ticket and Hotel Packages,2026-07-11,Stevenage,['Metal/Punk'],ticketmaster
1AdjZbwGkmJHZXP,American Express Presents BST Hyde Park - Lewis Capaldi,2026-07-11,London,['Unclassified'],ticketmaster
LvZ18Qj_rDCZd3YZ0nr_7,Lost Frequencies Open Air,2026-07-11,London,['Electronic/Dance'],ticketmaster
1AdjZbwGkw2DYNr,Lewis Capaldi - Official Premium Ticket and Hotel Experiences,2026-07-11,London,['Unclassified'],ticketmaster
LvZ18QbjIhjNZcOZ00VL_,An Afternoon of indie - Indie for the over 30s!,2026-07-11,Stockport,['Rock/Indie'],ticketmaster
16gZk8MupZA51AuF,Abba Voyage - VIP Premium Package,2026-07-11,London,['Pop'],ticketmaster
1AdbZ_dGkBYIfnn,Road To Nashville Festival,2026-07-11,Glasgow,['Folk/Country'],ticketmaster
1AgZkCKGkew3_S1,ABBA Voyage,2026-07-11,London,['Pop'],ticketmaster
G5vHZbzXgMVKE,Eden Sessions: The Maccabees,2026-07-11,St Austell,['Rock/Indie'],ticketmaster
LvZ18Qhnkp9HBEYZHRD7I,"An Afternoon of Indie NOTTINGHAM - Indie for the over 30s, 3pm-7pm",2026-07-11,Nottingham,['Rock/Indie'],ticketmaster
G5vHZbVI75tqv,Sounds of the City Present THE STREETS,2026-07-11,Manchester,['Unclassified'],ticketmaster
LvZ18Qqz8nytfP8vqC0Ut,Channel One Sound System BBQ,2026-07-11,London,['World/Latin/Reggae'],ticketmaster
1ANZkGkGkd5MZEy,My Chemical Romance - Long Live The Black Parade Tour,2026-07-11,London,['Rock/Indie'],ticketmaster
1AdbZbgGkUClgBD,The Cribs,2026-07-11,Leeds,['Rock/Indie'],ticketmaster
1AeGZbYGkDjzYDs,Rob Lamberti Presents Perfectly George - Live Lounge Premium Package,2026-07-11,Derby,['Unclassified'],ticketmaster
