id,name,dates.start.localDate,genre_name,subGenre_name,city_name,attraction_count,attraction_genres
LvZ18QxAj1bZeL8vGSGnc,EVERYWHERE AT ONCE: Dewin,2026-06-28,Alternative,Adult Alternative Pop/Rock,"Narberth, Pembrokeshire",2.0,"['Alternative', 'Other']"
LvZ18QO6E5_0DZYvqZ7DL,King Tuts Summer Nights - Golden Ticket,2026-07-09,Rock,Pop,Glasgow,1.0,['Rock']
16djZbzkpG7X9uN,Friday Day - Wireless 2026,2026-07-10,Undefined,Undefined,London,2.0,"['Undefined', 'Hip-Hop/Rap']"
1AMZkGyGkdEauCg,Amex Presents BST Hyde Park - Pitbull - Ultimate Bar Packages,2026-07-10,Undefined,Undefined,London,3.0,"['Undefined', 'Pop']"
1AMZkGyGkeJTygI,American Express Presents BST Hyde Park - Pitbull,2026-07-10,Undefined,Undefined,London,6.0,"['Undefined', 'Pop', 'World', 'Hip-Hop/Rap']"
16djZbVF7G7ncoa,Pitbull - Official Premium Ticket and Hotel Experiences,2026-07-10,Pop,Pop,London,2.0,"['Pop', 'Undefined']"
LvZ18QL6CNUlZyYZ0zK-l,90s & 00s Nation Summer Fest,2026-07-10,Dance/Electronic,Club Dance,Hornchurch,4.0,"['Dance/Electronic', 'Hip-Hop/Rap']"
1ANZkGkGkd1nYEZ,My Chemical Romance - Long Live The Black Parade Tour,2026-07-10,Rock,Alternative Rock,London,1.0,['Rock']
G5vHZ_dzYm1tU,Bastille  - Upgrade (does not include event ticket),2026-07-10,Rock,Pop,Cardiff,4.0,"['Rock', 'Pop']"
G5vHZbVxDiED0,Bastille with special guests Arthur Hill and Sofia Camara,2026-07-10,Rock,Pop,Cardiff,4.0,"['Rock', 'Pop']"
G5vHZbgLcwt9a,Wet Leg,2026-07-10,Rock,Alternative Rock,London,1.0,['Rock']
G5vHZbgdNZbnj,In The Park Newcastle Presents Paul Weller,2026-07-10,Rock,Pop,Newcastle,2.0,['Rock']
G5vHZbghJO_3c,Emeli Sande with The Absolute Orchestra,2026-07-10,R&B,R&B,Llangollen,2.0,"['R&B', 'Rock']"
G5vHZbMmsip4D,Bastille - Official Ticket and Hotel Bundls,2026-07-10,Rock,Pop,Cardiff,2.0,['Rock']
1AdfZ_kGknDSfO2,David Gray,2026-07-10,Rock,Alternative Rock,Margate,1.0,['Rock']
G5vHZbVTj6zFy,Sounds of the City Present THE STREETS,2026-07-10,Miscellaneous,Miscellaneous,Manchester,2.0,"['Miscellaneous', 'Hip-Hop/Rap']"
1AdbZ_aGkwr0Kjc,JINKX MONSOON: Speaking of Witch - Venue Premium Tickets,2026-07-10,Rock,Pop,York,2.0,"['Performance Art', 'Undefined']"
1AdfZbVGkMbQJQO,Mouth of the Tyne Festival presents MINISTRY OF SOUND CLASSICAL,2026-07-10,Classical,Classical/Vocal,Tynemouth,4.0,"['Classical', 'Rock', 'Dance/Electronic']"
1AdfZbVGkX060UJ,Deacon Blue,2026-07-10,Rock,Pop,Scarborough,3.0,['Rock']
1AdjZ_aGkw0nK2m,Lucki - Venue Premium Tickets,2026-07-10,Hip-Hop/Rap,Trap,London,2.0,"['Hip-Hop/Rap', 'Undefined']"
1AgZkuaGkdxCnPh,Billy Ocean with very special guest Marti Pellow,2026-07-10,R&B,Soul,Halifax,4.0,"['R&B', 'Rock', 'Dance/Electronic']"
G5vHZ_dUSK0Sw,Summer Concerts - the Abba Reunion Tribute Show,2026-07-10,Undefined,Undefined,Staffordshire,2.0,"['Undefined', 'Rock']"
G5vHZ_k5as4vE,GlassJaw,2026-07-10,Rock,Alternative Rock,London,1.0,['Rock']
LvZ18Q-pKLX3pcOZ0OBgy,SOLID SOUL Fri 10 July 2026 The Jam House Birmingham,2026-07-10,Pop,Pop,Birmingham,2.0,"['Pop', 'Classical']"
LvZ18QbGIx0SvLOZl1iCS,KEVIN MORBY,2026-07-10,Rock,Pop,Brighton,1.0,['Rock']
LvZ18QqzD5j7hHZZ0d60V,AGNOSTIC FRONT x D.R.I.,2026-07-10,Rock,Alternative Rock,London,2.0,['Rock']
LvZ18QxNGBPZeYOZvC6Lf,Alfies Soho - Live Jazz and Blues,2026-07-10,Jazz,Jazz,London,2.0,['Jazz']
1AgZku8GkdJ3lI7,Billy Ocean- Official Ticket and Hotel Bundls,2026-07-10,R&B,Soul,Halifax,2.0,"['R&B', 'Rock']"
1AgZkuPGkdw4HkG,Deacon Blue- Official Ticket and Hotel Bundls,2026-07-10,Rock,Pop,Scarborough,2.0,['Rock']
1AdbZbgGkYaZrY-,Sounds of the City Present The Human League,2026-07-10,Rock,Alternative Rock,Leeds,3.0,['Rock']
LvZ18QhOV8mo-lOZvNsvg,Zoe Rahman Trio - Album Launch,2026-07-10,Folk,Folk,London,1.0,['Folk']
LvZ18QrbmRYs8TZv1ptka,The Temptations by Masterpiece,2026-07-10,R&B,Soul,London,1.0,['R&B']
1AdbZbVGkUnCgyg,Callum Beattie,2026-07-10,Rock,Pop,Edinburgh,1.0,['Rock']
17u8v0G6u0vuU4W,Mackenzy Mackay,2026-07-10,Pop,Electro Pop,London,1.0,['Pop']
17u8v0G6uMl-kO7,Belle Livingstone's 58th Street Country Club,2026-07-10,Jazz,Jazz,London,1.0,['Jazz']
17uOvxG65QcQflP,What's Love Got to do With it? - The Ultimate Tribute to Tina Turner,2026-07-10,Undefined,Undefined,Aberdeen,1.0,['Undefined']
1AMZkuJGkdOnM4q,Jools Holland and His Rhythm & Blues Orchestra,2026-07-10,R&B,R&B,High Wycombe,2.0,"['R&B', 'Rock']"
1AdFZ_7Gkmwy8I2,The Spooky Men's Chorale,2026-07-10,Folk,Indie Folk,Glasgow,,
1AdFZbMGkl6ao5W,Carrtoons - Restaurant,2026-07-10,R&B,R&B,London,3.0,['R&B']
1AdFZbMGkl6aoGm,CARRTOONS,2026-07-10,R&B,R&B,London,3.0,['R&B']
1AdbZ_kGkUYY4GY,December 10,2026-07-10,Pop,Electro Pop,Edinburgh,1.0,['Pop']
1AdjZ_6GkXwgeId,Young Miko,2026-07-10,Latin,Latin,London,1.0,['Latin']
1AwZkobGkeIrY-D,Cloudbusting - the Music of Kate Bush,2026-07-10,Undefined,Undefined,Glasgow,1.0,['Undefined']
G5dzZbzTnG4t6,Breaking Benjamin,2026-07-10,Rock,Alternative Rock,Birmingham,3.0,['Rock']
G5vHZbSeV3kWl,Rumours of Fleetwood Mac,2026-07-10,Undefined,Undefined,Truro,1.0,['Undefined']
LvZ18Q0aQb9cPmkwhe06p,Summer Ceilidh,2026-07-10,Folk,Traditional Scottish Folk,Glasgow,1.0,['Folk']
LvZ18Q9NSTJhZX8ZyoM7h,Limehouse Lizzy,2026-07-10,Undefined,Undefined,Derby,1.0,['Undefined']
LvZ18QKhnpwMJ5ZZy3nZU,Nik Kershaw,2026-07-10,Rock,Pop,Newcastle upon Tyne,1.0,['Rock']
LvZ18QjA4lrXSXOvOd5rJ,Knights Foundation Presents: Southampton's Finest Talent (Charity Night),2026-07-10,Other,Other,Southampton,4.0,"['Other', 'Rock', 'Dance/Electronic']"
17uYvxG62LHjdYZ,The James Bond Spectacular,2026-07-10,Rock,Pop,Bath,,
1AMZkugGkdRNtni,The Proclaimers,2026-07-10,Rock,Pop,Peterborough,1.0,['Rock']
1AdfZ_eGkTIpEj_,Shalamar: The Gold Tour - A Fifty Year Celebration,2026-07-10,Rock,Pop,Colchester,1.0,['Rock']
LvZ18Q8f8XNLOm8ZlVSP1,20 Dollar Wedding - CANCELLED,2026-07-10,Folk,Americana,Newcastle Upon Tyne,1.0,['Folk']
LvZ18Q9uop5zF7ZZYCqKJ,Noasis - Hertford Corn Exchange - Friday 10 July 2026,2026-07-10,Undefined,Undefined,Hertford,1.0,['Undefined']
LvZ18QO6m1d7MjZZJ3hhf,King Tut's Summer Nights Presents: Close Control,2026-07-10,Rock,Pop,Glasgow,5.0,"['Rock', 'Other', 'Alternative', 'Pop']"
LvZ18QQ8uzjyGrZZ0gNY9,Paradise Sins + SoulSwitch,2026-07-10,Metal,Metal,Birmingham,2.0,"['Metal', 'Rock']"
LvZ18QQhVzALw-OZisfxm,Remembering John Holt,2026-07-10,Reggae,Reggae,London,1.0,['Reggae']
LvZ18QjQGDVApvZv-69kf,Just the Tonic Comedy Club - Leamington Spa - Ross Noble Special,2026-07-10,Comedy,Comedy,Leamington Spa,4.0,"['Comedy', 'Dance/Electronic']"
LvZ18Qqyejr3unYv1Gf_K,Stiff Little Fingers,2026-07-10,Rock,Pop,Norwich ,1.0,['Rock']
LvZ18_PvbhlZPKv9I8T9h,Alexandra Leaving,2026-07-10,Alternative,Alternative Rock,Birmingham,1.0,['Alternative']
1AgZkCKGkewAaYe,ABBA Voyage,2026-07-10,Pop,Pop,London,1.0,['Pop']
1agZk8MuK3fZe5A,Abba Voyage - VIP Premium Package,2026-07-10,Pop,Pop,London,1.0,['Pop']
17GOv0G659o_8Y2,Blank Cheque + No Rest for the Spacemen + Us Lot,2026-07-10,Rock,Pop,London,,
LvZ18QxNGBPZeYOZvC6L4,Alfies Soho - Live Jazz and Blues,2026-07-10,Jazz,Jazz,London,2.0,['Jazz']
LvZ18QxNe1aKvNZZv7Zlk,Soho Sports Night - World Cup Special,2026-07-10,Jazz,Jazz,London,3.0,['Jazz']
LvZ18QxntdUewpOZ0jTLd,THE HOTKNIVES + SUPPORT,2026-07-10,Rock,Pop,Brighton,1.0,['Rock']
1AwZkoPGkdAAYBl,Mainly Madness,2026-07-10,Rock,Pop,Southampton,1.0,['Rock']
LvZ18QhOV8mo-lOZvNsvU,Zoe Rahman Trio - Album Launch,2026-07-10,Folk,Folk,London,1.0,['Folk']
LvZ18Qx5wwKR5MYZ0WKJW,Boney M feat Maizie Williams,2026-07-10,Rock,Pop,London,2.0,"['Rock', 'Pop']"
LvZ18QqL4Ffk1eOvqyHPh,"BADSISTA, Anita B Queen, DJ Travella",2026-07-10,Dance/Electronic,Dance/Electronic,London,4.0,['Dance/Electronic']
16djZbzJfG7RfqJ,Wireless 2026 - VIP Ticket,2026-07-10,Undefined,Undefined,London,2.0,"['Undefined', 'Hip-Hop/Rap']"
1AMZkCvGkdo0G55,2 Day (Fri + Sat) - Wireless 2026,2026-07-10,Undefined,Undefined,London,1.0,['Undefined']
1AMZkCvGkdsKWBf,Souvenir Ticket - Wireless 2026,2026-07-10,Undefined,Undefined,London,1.0,['Undefined']
1AMZkCvGke-Tboa,"3 Day (Fri, Sat, Sun) - Wireless 2026",2026-07-10,Undefined,Undefined,London,1.0,['Undefined']
1AMZkCvGkeUxty9,2 Day (Fri + Sun) - Wireless 2026,2026-07-10,Undefined,Undefined,London,1.0,['Undefined']
1AMZkoMGke0Kole,Wireless 2026 - The Lounge,2026-07-10,Undefined,Undefined,London,2.0,"['Undefined', 'Hip-Hop/Rap']"
G5vHZbRBbBovA,Lost Minds Festival 2026 Payment Plan,2026-07-11,Dance/Electronic,Amapiano,Newcastle,1.0,['Dance/Electronic']
G5vHZbRE2vvoV,Lost Minds Festival 2026,2026-07-11,Pop,Electro Pop,Newcastle,1.0,['Dance/Electronic']
1AMZkCvGke03zh7,Saturday Day - Wireless 2026,2026-07-11,Undefined,Undefined,London,2.0,"['Undefined', 'Hip-Hop/Rap']"
LvZ18Q9RcjVLBYZZ0J5nC,Boogietown 2026,2026-07-11,R&B,R&B,Walton-on-Thames,20.0,"['R&B', 'Pop', 'Other', 'Reggae', 'Rock', 'Dance/Electronic']"
LvZ18QqzT7Dg6MZvqS5SO,F&NMusic Present's R&B Karaoke Brunch Feat Versions,2026-07-11,R&B,R&B,London,1.0,['R&B']
LvZ18Qb93a-3Bn8Zlu5Ue,Rapid Aye Movement,2026-07-11,Rock,Rock,"Newcastle upon Tyne, NE1 2PQ",1.0,['Rock']
LvZ18Qj1kRInnM8Z0Agsf,The Saturday Brunch Club,2026-07-11,Food & Drink,Food & Drink,London,2.0,"['Food & Drink', 'Jazz']"
17u8v0G6uMlRpNH,Belle Livingstone's 58th Street Country Club,2026-07-11,Jazz,Jazz,London,1.0,['Jazz']
1AdjZbwGkwR6s6b,Amex Presents BST Hyde Park - Lewis Capaldi - Ultimate Bar Packages,2026-07-11,Undefined,Undefined,London,4.0,"['Undefined', 'Alternative', 'Pop']"
1kuYvNGtGA1e_qM,Iron Maiden - EDDFEST,2026-07-11,Metal,Nu-Metal,Stevenage,6.0,"['Metal', 'Rock']"
LvZ18Q9IT_UBt9ZZ0lAeZ,Kaleidoscope Festival - 2026,2026-07-11,Undefined,Undefined,London,8.0,"['Undefined', 'Comedy', 'Dance/Electronic', 'Rock', 'Pop']"
LvZ18QreRQqzqTOZ0-3GN,Saturday Jazz Lunch | Frank & Dean,2026-07-11,Jazz,Big Band,London,3.0,"['Jazz', 'Undefined']"
LvZ18QxTDjf7En8vOuniM,The Mumbles Day of Hell,2026-07-11,R&B,Funk,London,1.0,['R&B']
1AMZkGVGkdNTc3Z,Iron Maiden - Official Ticket and Hotel Packages,2026-07-11,Metal,Nu-Metal,Stevenage,1.0,['Metal']
1AdjZbwGkmJHZXP,American Express Presents BST Hyde Park - Lewis Capaldi,2026-07-11,Undefined,Undefined,London,4.0,"['Undefined', 'Alternative', 'Pop']"
LvZ18Qj_rDCZd3YZ0nr_7,Lost Frequencies Open Air,2026-07-11,Dance/Electronic,Club Dance,London,1.0,['Dance/Electronic']
1AdjZbwGkw2DYNr,Lewis Capaldi - Official Premium Ticket and Hotel Experiences,2026-07-11,Undefined,Undefined,London,2.0,"['Undefined', 'Alternative']"
LvZ18QbjIhjNZcOZ00VL_,An Afternoon of indie - Indie for the over 30s!,2026-07-11,Rock,Alternative Rock,Stockport,1.0,['Rock']
16gZk8MupZA51AuF,Abba Voyage - VIP Premium Package,2026-07-11,Pop,Pop,London,1.0,['Pop']
1AdbZ_dGkBYIfnn,Road To Nashville Festival,2026-07-11,Country,Country,Glasgow,,
1AgZkCKGkew3_S1,ABBA Voyage,2026-07-11,Pop,Pop,London,1.0,['Pop']
G5vHZbzXgMVKE,Eden Sessions: The Maccabees,2026-07-11,Rock,Pop,St Austell,5.0,"['Rock', 'Alternative']"
LvZ18Qhnkp9HBEYZHRD7I,"An Afternoon of Indie NOTTINGHAM - Indie for the over 30s, 3pm-7pm",2026-07-11,Alternative,Indie Rock,Nottingham,1.0,['Alternative']
LvZ18QxnabRjd0YvOxz09,For The Love Of Garage - Summer Terrace Party,2026-07-11,Dance/Electronic,Club Dance,London,1.0,['Dance/Electronic']
G5vHZbVI75tqv,Sounds of the City Present THE STREETS,2026-07-11,Miscellaneous,Miscellaneous,Manchester,2.0,"['Miscellaneous', 'Hip-Hop/Rap']"
LvZ18Qqz8nytfP8vqC0Ut,Channel One Sound System BBQ,2026-07-11,Reggae,Reggae,London,1.0,['Reggae']
1ANZkGkGkd5MZEy,My Chemical Romance - Long Live The Black Parade Tour,2026-07-11,Rock,Alternative Rock,London,1.0,['Rock']
1AdbZbgGkUClgBD,The Cribs,2026-07-11,Rock,Alternative Rock,Leeds,1.0,['Rock']
1AeGZbYGkDjzYDs,Rob Lamberti Presents Perfectly George - Live Lounge Premium Package,2026-07-11,Undefined,Undefined,Derby,2.0,"['Pop', 'Undefined']"
G5vHZbgxzubF7,An Evening with Michael Ball,2026-07-11,Pop,Adult Contemporary,Llangollen,2.0,"['Pop', 'Rock']"
G5vHZbsmx6ouD,David Gray + Special Guest The Divine Comedy,2026-07-11,Rock,Alternative Rock,Cardiff,3.0,['Rock']
G5vHZbw3SUfAW,David Gray- Official Ticket and Hotel Bundls,2026-07-11,Rock,Alternative Rock,Cardiff,2.0,['Rock']
1AMZk38GkdSXhQY,THE BEST OF ALL WORLDS - UK TOUR 2026 - SAMMY HAGAR,2026-07-11,Rock,Pop,London,2.0,['Rock']
15dfZbMjvOyJK,Mouth of the Tyne Festival Presents Self Esteem,2026-07-11,Pop,Pop,Tynemouth,2.0,"['Pop', 'Rock']"
1AdjZ_aGkU0fKAJ,Ilaiyaraaja - Venue Premium Tickets,2026-07-11,World,World,London,2.0,"['World', 'Undefined']"
1AeGZbYGkBB6ZUf,Rob Lamberti Presents Perfectly George,2026-07-11,Undefined,Undefined,Derby,1.0,['Pop']
