id,eventname,startdate,enddate,venue.town,venue.region,cancelled,genre_count,genres,artist_count
41585614,Forbidden Forest 2026,2026-06-04T12:00:00+00:00,2026-06-07T23:00:00+00:00,Grantham,Nottingham,0,4.0,"['House', 'Drum and Bass', 'Techno', 'Tech House']",50.0
41643401,Bulletproof Festival 2026,2026-06-04T17:30:00+00:00,2026-06-06T22:30:00+00:00,London,London,0,,,26.0
41392590,Symphonic Ibiza - At The Beach,2026-06-05T15:00:00+00:00,2026-06-05T22:30:00+00:00,Weston Super-Mare,Bristol,0,,,2.0
41997035,AnExperience Festival,2026-06-05T14:00:00+00:00,2026-06-08T00:00:00+00:00,Huntingdon,Cambridgeshire,0,5.0,"['Dancehall', 'Ska', 'Salsa', 'World Music', 'Jungle']",16.0
40660839,Fields of Éire- Irish Music Festival Liverpool 2026,2026-06-05T16:30:00+00:00,2026-06-06T23:00:00+00:00,Liverpool,Merseyside,0,3.0,"['Acoustic', 'Folk', 'Country/Americana']",
41597036,Could Be Real Tribute Festival 2026 at Harewood House,2026-06-05T15:30:00+00:00,2026-06-05T23:00:00+00:00,Leeds,West Yorkshire,0,5.0,"['Rock', 'Pop', 'Covers Band/Tribute Act', 'Indie Pop', 'Pop Rock']",3.0
41604724,'The House & Garage Orchestra' 10th Anniversary,2026-06-05T17:00:00+00:00,2026-06-05T22:30:00+00:00,Maldon,Essex,0,5.0,"['UK Garage', 'Retro House', 'Old Skool', 'Funky House', '1990s']",9.0
41956352,Mind Expansion Pack 4 at DEYA Brewery,2026-06-05T17:30:00+00:00,2026-06-07T00:00:00+00:00,Cheltenham,Gloucestershire,0,3.0,"['House', 'Acid House', 'Disco']",6.0
42429830,Vai Brasa - Warm Up,2026-06-05T19:00:00+00:00,2026-06-06T00:00:00+00:00,Manchester,Greater Manchester,0,3.0,"['House', 'Tech House', 'Funk']",
41995753,Nottingham's Summer Fiesta 2026 | VAMOS X LA BOMBA | Binks Yard,2026-06-05T16:00:00+00:00,2026-06-05T22:00:00+00:00,Nottingham,Nottingham,0,2.0,"['R&B', 'Latin']",
41785371,Secret Garden Series Hosted By: TBT & The Hobbit,2026-06-05T19:00:00+00:00,2026-06-05T23:00:00+00:00,Southampton,Hants,0,3.0,"['Alternative', 'Emo', 'Pop Punk']",
41606954,Pink Party Fest,2026-06-05T12:00:00+00:00,2026-06-07T11:00:00+00:00,Carlisle,Cumbria,0,,,
41769679,Summer Fest at the Beach Parking,2026-06-05T10:15:00+00:00,2026-06-07T17:00:00+00:00,Weston Super-Mare,Bristol,0,,,
41951379,SHILDONLIVE Friday night 5th June 2026,2026-06-05T17:30:00+00:00,2026-06-05T23:00:00+00:00,Shildon,Durham,0,4.0,"['Old Skool', 'Electro House', 'Retro and Throwbacks', 'Bounce']",2.0
42003438,Lewes Music Festival   - LMF,2026-06-05T12:00:00+00:00,2026-06-07T23:00:00+00:00,Lewes,Brighton and Hove,0,5.0,"['Disco', 'Swing', 'Reggae', 'Country/Americana', 'Dub']",6.0
42467381,Try Fest,2026-06-05T11:00:00+00:00,2026-06-06T23:00:00+00:00,Letchworth ,Hertfordshire,0,5.0,"['UK Garage', 'R&B', 'Pop', 'Covers Band/Tribute Act', 'Electronic']",50.0
42073707,The House and Garage Orchestra - 10th Anniversary,2026-06-05T16:00:00+00:00,2026-06-05T23:30:00+00:00,Maldon,Essex,0,,,
42142025,Symphonic Ibiza Lewisham,2026-06-05T18:00:00+00:00,2026-06-05T22:00:00+00:00,Beckenham,London,1,3.0,"['House', 'Classical', 'EDM']",3.0
42469376,Chestertons Polo in the Park 2026,2026-06-05T12:00:00+00:00,2026-06-07T20:00:00+00:00,London,London,0,,,
42174088,The Golden Age of Brazilian Music - Live @Hampstead Jazz Club,2026-06-05T20:00:00+00:00,2026-06-05T22:00:00+00:00,Hampstead,London,0,4.0,"['Jazz', 'Acoustic', 'Latin', 'World Music']",1.0
41574784,Tunes in the Dunes,2026-06-05T11:00:00+00:00,2026-06-07T23:00:00+00:00,Perranporth,Cornwall,0,3.0,"['Pop', 'Indie', 'Indie Pop']",21.0
41230124,Summer Fest at the Beach,2026-06-06T11:00:00+00:00,2026-06-07T22:30:00+00:00,Weston Super-Mare,Bristol,0,4.0,"['UK Garage', 'Pop', 'Grime', 'Indie Pop']",18.0
41450803,Goodlife Festival 2026,2026-06-06T12:00:00+00:00,2026-06-06T23:00:00+00:00,Leeds,West Yorkshire,0,5.0,"['House', 'Soul', 'Funk', 'Disco', 'Disco House']",17.0
42260090,Wentworth Balloon Festival,2026-06-06T12:00:00+00:00,2026-06-06T22:30:00+00:00,Rotherham,South Yorkshire,0,,,
41093361,Soultasia - Essex 2026,2026-06-06T12:00:00+00:00,2026-06-06T22:00:00+00:00,Maldon,Essex,0,5.0,"['R&B', 'Soul', 'Funk', 'Disco', 'Nu Disco']",10.0
41504754,Clubland Live Plymouth,2026-06-06T14:00:00+00:00,2026-06-06T22:30:00+00:00,Plymouth,Devon,0,4.0,"['Club Classics', 'Cheesy Dance', 'Electronic', 'Hard Dance']",12.0
