,id,listingid,isSBT,uniquelistingidentifier,hascollapsedresults,countcollapsedresults,EventCode,eventname,cancelled,cancellationDate,cancellationType,cancellationReason,rescheduledDate,venue,imageurl,largeimageurl,xlargeimageurl,xlargeimageurlWebP,link,date,startdate,enddate,description,openingtimes,minage,imgoing,goingtos,goingtocount,tickets,ticketpricing,entryprice,eventvisibility,ticketUrl,hotSeller,rep,headerHex,currency,artists,genres,healthAndSafety,festivalId,festival
0,41993720,2197883,false,2197883,false,0,FEST,Bredy Reunion,0,,,,,"{'id': 70333, 'name': 'Bredy Farm', 'address': 'Bredy Farm, Bredy Lane, Burton Bradstock', 'town': 'Bridport', 'postcode_lookup': 'Dorchester', 'postcode': 'DT6 4ND', 'region': 'Dorset', 'country': 'GB', 'phone': '07496884837', 'latitude': 50.703545, 'longitude': -2.697653, 'type': 'Outdoors', 'rating': 4, 'reviewCount': 47}",https://d31fr2pwly4c4s.cloudfront.net/d/1/2/2197883_8d120099_bredy-reunion_th.jpg,https://d31fr2pwly4c4s.cloudfront.net/d/1/2/2197883_8d120099_bredy-reunion.jpg,https://d31fr2pwly4c4s.cloudfront.net/d/1/2/2197883_8d120099_bredy-reunion_1024.jpg,https://d31fr2pwly4c4s.cloudfront.net/d/1/2/2197883_8d120099_bredy-reunion_1024.webp,https://www.skiddle.com/whats-on/Dorchester/Bredy-Farm/Bredy-Reunion/41993720/,2026-07-09,2026-07-09T10:00:00+00:00,2026-07-11T23:45:00+00:00,Join us in July 2026 for the FOURTH 'Bredy Reunion' festival! A small festival in the heart of Dorset which packs a BIG punch!,"{'doorsopen': '10:00', 'doorsclose': '23:45', 'lastentry': '22:00'}",,,0,0,true,"{'minPrice': 5, 'maxPrice': 105}",,public,,false,{'enabled': False},#080808,GBP,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object],[object Object]",,,
1,41340599,2099941,false,V0M6bu2TeR,false,0,FEST,Bradford Literature Festival,0,,,,,"{'id': 9138, 'name': 'University Of Bradford', 'address': ' University of Bradford, Great Horton Road, Bradford', 'town': 'Bradford ', 'postcode_lookup': 'Bradford', 'postcode': 'BD7 1DP', 'region': 'West Yorkshire', 'country': 'GB', 'phone': '01274 232323', 'latitude': 53.791699, 'longitude': -1.762129, 'type': 'School/Uni', 'rating': 4, 'reviewCount': 5}",https://d31fr2pwly4c4s.cloudfront.net/1/3/c/2099934_d4b140af_bradford-literature-festival_th.jpg,https://d31fr2pwly4c4s.cloudfront.net/1/3/c/2099934_d4b140af_bradford-literature-festival.jpg,https://d31fr2pwly4c4s.cloudfront.net/1/3/c/2099934_d4b140af_bradford-literature-festival_1024.jpg,https://d31fr2pwly4c4s.cloudfront.net/1/3/c/2099934_d4b140af_bradford-literature-festival_1024.webp,https://www.skiddle.com/whats-on/Bradford/University-Of-Bradford/Bradford-Literature-Festival/41340599/,2026-07-09,2026-07-09T09:00:00+00:00,2026-07-09T22:00:00+00:00,"10 days, 500+ events of books, talks, exhibitions, music, film & 4 free family fun days. Celebrating stories, ideas & diverse voices.","{'doorsopen': '09:00', 'doorsclose': '22:00', 'lastentry': ''}",,,0,0,false,"{'minPrice': 5, 'maxPrice': 105}",£7+ or Free for concessions,public,,false,{'enabled': False},,GBP,,,,,
2,42498228,2283737,false,2283737,false,0,FEST,British Summer Time,0,,,,,"{'id': 12701, 'name': 'The Hyde Park, St Neots', 'address': '46 New St Neots, Cambs PE19 1AJ', 'town': 'St Neots', 'postcode_lookup': 'Peterborough', 'postcode': 'PE19 1AJ', 'region': 'Cambridgeshire', 'country': 'GB', 'phone': '01480 473503', 'latitude': 52.2360968, 'longitude': -0.2564718, 'type': 'bar', 'rating': 0, 'reviewCount': 0}",https://d1plawd8huk6hh.cloudfront.net/assets/default400.png,https://d1plawd8huk6hh.cloudfront.net/assets/default400.png,https://d1plawd8huk6hh.cloudfront.net/assets/default400.png,False,https://www.skiddle.com/festivals/bstlondon/,2026-06-27,2026-06-27T11:00:00+00:00,2026-07-12T23:00:00+00:00,"10 days of music & entertainment, with legendary headliners & support from today's rising stars","{'doorsopen': '11:00', 'doorsclose': '23:00', 'lastentry': ''}",,,0,0,false,"{'minPrice': 5, 'maxPrice': 105}",0,public,,false,{'enabled': False},#f8c8d8,GBP,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object]",,260,"{'id': 260, 'name': 'BST Hyde Park', 'earliestStartDate': None}"
3,42581709,2301622,false,2301622,false,0,FEST,Eskfest,0,,,,,"{'id': 94514, 'name': 'The Woolpack Inn', 'address': 'Holmrook', 'town': 'Eskdale Valley', 'postcode_lookup': 'Carlisle', 'postcode': 'CA19 1TH', 'region': 'Cumbria', 'country': 'GB', 'phone': '', 'latitude': 54.397677, 'longitude': -3.249126, 'type': 'Outdoors', 'rating': 0, 'reviewCount': 0}",https://d31fr2pwly4c4s.cloudfront.net/7/5/7/2301622_fc1c2a47_eskfest_th.jpg,https://d31fr2pwly4c4s.cloudfront.net/7/5/7/2301622_fc1c2a47_eskfest.jpg,https://d31fr2pwly4c4s.cloudfront.net/7/5/7/2301622_fc1c2a47_eskfest_1024.jpg,https://d31fr2pwly4c4s.cloudfront.net/7/5/7/2301622_fc1c2a47_eskfest_1024.webp,https://www.skiddle.com/festivals/eskfest/,2026-07-09,2026-07-09T11:00:00+00:00,2026-07-11T23:00:00+00:00,The Lake District's number 1 micro-festival,"{'doorsopen': '11:00', 'doorsclose': '23:00', 'lastentry': ''}",,,0,0,false,"{'minPrice': 5, 'maxPrice': 105}",0,public,,false,{'enabled': False},#080818,GBP,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object],[object Object]",,1871,"{'id': 1871, 'name': 'Eskfest', 'earliestStartDate': None}"
4,41236901,2072158,false,2072158,false,0,FEST,2000trees Festival,0,,,,,"{'id': 7988, 'name': 'Upcote Farm', 'address': 'Withington, Cheltenham, Glos', 'town': 'Cheltenham', 'postcode_lookup': 'Cheltenham', 'postcode': 'GL54 4bl', 'region': 'Gloucestershire', 'country': 'GB', 'phone': 'N/A', 'latitude': 51.84277199, 'longitude': -1.969645, 'type': 'Outdoors', 'rating': 0, 'reviewCount': 0}",https://d31fr2pwly4c4s.cloudfront.net/b/d/2/2072158_33650635_2000trees-Festival_th.jpg,https://d31fr2pwly4c4s.cloudfront.net/b/d/2/2072158_33650635_2000trees-Festival.jpg,https://d31fr2pwly4c4s.cloudfront.net/b/d/2/2072158_33650635_2000trees-Festival_1024.jpg,https://d31fr2pwly4c4s.cloudfront.net/b/d/2/2072158_33650635_2000trees-Festival_1024.webp,https://www.skiddle.com/festivals/2000trees-Festival/,2026-07-08,2026-07-08T12:00:00+00:00,2026-07-11T23:00:00+00:00,"2000trees is a 15,000 capacity music festival set in the rolling Cotswold Hills.","{'doorsopen': '12:00', 'doorsclose': '23:00', 'lastentry': ''}",,,0,0,false,"{'minPrice': 5, 'maxPrice': 105}",0,public,,false,{'enabled': False},#184868,GBP,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object]",,596,"{'id': 596, 'name': '2000trees Festival', 'earliestStartDate': None}"
5,42310345,2239709,false,2239709,false,0,FEST,Gosport Sunset Festival 2026,0,,,,,"{'id': 53414, 'name': 'Walpole Park', 'address': 'Walpole Road', 'town': 'Gosport', 'postcode_lookup': 'Gosport', 'postcode': 'PO12 1NH', 'region': 'Hampshire', 'country': 'GB', 'phone': '07377 313406', 'latitude': 50.794255, 'longitude': -1.127924, 'type': 'Outdoors', 'rating': 4, 'reviewCount': 1}",https://d31fr2pwly4c4s.cloudfront.net/5/4/d/2239709_1e04d59e_gosport-sunset-festival-2026_th.jpg,https://d31fr2pwly4c4s.cloudfront.net/5/4/d/2239709_1e04d59e_gosport-sunset-festival-2026.jpg,https://d31fr2pwly4c4s.cloudfront.net/5/4/d/2239709_1e04d59e_gosport-sunset-festival-2026_1024.jpg,https://d31fr2pwly4c4s.cloudfront.net/5/4/d/2239709_1e04d59e_gosport-sunset-festival-2026_1024.webp,https://www.skiddle.com/whats-on/Gosport/Walpole-Park/Gosport-Sunset-Festival-2026/42310345/,2026-07-09,2026-07-09T15:30:00+00:00,2026-07-12T23:00:00+00:00,"Festival with Brand New Heavies, The Beat, The South, Altered Images, Tom Hingley (ex Inspiral Carpets) plus 60 other acts","{'doorsopen': '15:30', 'doorsclose': '23:00', 'lastentry': '20:45'}",14,,0,0,false,"{'minPrice': 5, 'maxPrice': 105}",30,public,,false,{'enabled': False},#f8d888,GBP,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object]",,,
6,42175620,2223254,false,2223254,false,0,FEST,Into the Woods festival 2026,0,,,,,"{'id': 60459, 'name': 'Piercefield Park', 'address': 'Chepstow', 'town': 'Monmouthshire', 'postcode_lookup': 'Newport', 'postcode': 'NP16 6BE', 'region': 'Gwent', 'country': 'GB', 'phone': '', 'latitude': 51.665725, 'longitude': -2.696656, 'type': 'Nightclub', 'rating': 4, 'reviewCount': 49}",https://d31fr2pwly4c4s.cloudfront.net/1/e/4/2223254_139e7bb9_into-the-woods-festival-2026_th.jpg,https://d31fr2pwly4c4s.cloudfront.net/1/e/4/2223254_139e7bb9_into-the-woods-festival-2026.jpg,https://d31fr2pwly4c4s.cloudfront.net/1/e/4/2223254_139e7bb9_into-the-woods-festival-2026_1024.jpg,https://d31fr2pwly4c4s.cloudfront.net/1/e/4/2223254_139e7bb9_into-the-woods-festival-2026_1024.webp,https://www.skiddle.com/festivals/into-the-woods-festival/,2026-07-10,2026-07-10T12:00:00+00:00,2026-07-11T23:45:00+00:00,On Friday 10th & Saturday 11th July our tribe returns to the jaw-dropping natural landscape in Chepstow for an underground dance ritual like no other.,"{'doorsopen': '12:00', 'doorsclose': '23:45', 'lastentry': '15:00'}",18,,0,0,true,"{'minPrice': 7, 'maxPrice': 120}",,public,,true,{'enabled': False},#182818,GBP,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object],[object Object]",,2442,"{'id': 2442, 'name': 'Into the Woods Festival ', 'earliestStartDate': None}"
7,42404814,2259141,false,2259141,false,0,FEST,90s & 00s Nation Summer Fest,0,,,,,"{'id': 97615, 'name': 'Harrow Lodge Park', 'address': 'Hornchurch', 'town': 'London', 'postcode_lookup': 'Romford', 'postcode': 'RM12 4PL', 'region': 'London', 'country': 'GB', 'phone': '', 'latitude': 51.5546094, 'longitude': 0.1953171, 'type': 'Nightclub', 'rating': 4, 'reviewCount': 234}",https://d31fr2pwly4c4s.cloudfront.net/5/b/b/2259141_4f2bc112_90s-00s-nation-summer-fest_th.jpg,https://d31fr2pwly4c4s.cloudfront.net/5/b/b/2259141_4f2bc112_90s-00s-nation-summer-fest.jpg,https://d31fr2pwly4c4s.cloudfront.net/5/b/b/2259141_4f2bc112_90s-00s-nation-summer-fest_1024.jpg,https://d31fr2pwly4c4s.cloudfront.net/5/b/b/2259141_4f2bc112_90s-00s-nation-summer-fest_1024.webp,https://www.skiddle.com/whats-on/Romford/Harrow-Lodge-Park/90s--00s-Nation-Summer-Fest/42404814/,2026-07-10,2026-07-10T16:00:00+00:00,2026-07-10T23:00:00+00:00,"The best of the 90's & 00's - Old Skool Garage, House Classics, Old Skool RnB, 90's Anthems, Club Classics & Jungle!","{'doorsopen': '16:00', 'doorsclose': '23:00', 'lastentry': '20:30'}",18,,0,0,true,"{'minPrice': 4.95, 'maxPrice': 29.73}",,public,,true,{'enabled': False},#f80878,GBP,[object Object],"[object Object],[object Object],[object Object],[object Object],[object Object]",,,
8,42252003,2225668,false,2225668,false,0,FEST,Shut The Funk Up,0,,,,,"{'id': 138248, 'name': 'THE GRANGE', 'address': 'THE GRANGE', 'town': 'COBHAM', 'postcode_lookup': 'Kingston-Upon-Thames', 'postcode': 'KT113QJ', 'region': 'London', 'country': 'GB', 'phone': '', 'latitude': 51.3041621, 'longitude': -0.3822739, 'type': 'Other', 'rating': 0, 'reviewCount': 0}",https://d31fr2pwly4c4s.cloudfront.net/e/b/4/2225668_68c3a7c7_shut-the-funk-up_th.jpg,https://d31fr2pwly4c4s.cloudfront.net/e/b/4/2225668_68c3a7c7_shut-the-funk-up.jpg,https://d31fr2pwly4c4s.cloudfront.net/e/b/4/2225668_68c3a7c7_shut-the-funk-up_1024.jpg,https://d31fr2pwly4c4s.cloudfront.net/e/b/4/2225668_68c3a7c7_shut-the-funk-up_1024.webp,https://www.skiddle.com/festivals/shut-the-funk-up/,2026-07-10,2026-07-10T12:00:00+00:00,2026-07-12T23:00:00+00:00,"An intimate boutique festival in glorious Surry surroundings, premium drinks, food and accommodation with the world's finest DJ's.","{'doorsopen': '12:00', 'doorsclose': '23:00', 'lastentry': ''}",,,0,0,true,"{'minPrice': 225, 'maxPrice': 635}",,public,,false,{'enabled': False},#282838,GBP,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",,,3035,"{'id': 3035, 'name': 'Shut The Funk Up', 'earliestStartDate': None}"
9,42360926,2251101,false,2251101,false,0,FEST,90s Fest 2026,0,,,,,"{'id': 21806, 'name': 'Don Valley Bowl', 'address': 'Coleridge Road', 'town': 'Sheffield', 'postcode_lookup': 'Sheffield', 'postcode': 'S9 5DP', 'region': 'South Yorkshire', 'country': 'GB', 'phone': '', 'latitude': 53.395413, 'longitude': -1.4253059, 'type': 'Outdoors', 'rating': 4, 'reviewCount': 1193}",https://d31fr2pwly4c4s.cloudfront.net/2/6/b/2251101_af36168d_90s-fest-2026_th.jpg,https://d31fr2pwly4c4s.cloudfront.net/2/6/b/2251101_af36168d_90s-fest-2026.jpg,https://d31fr2pwly4c4s.cloudfront.net/2/6/b/2251101_af36168d_90s-fest-2026_1024.jpg,https://d31fr2pwly4c4s.cloudfront.net/2/6/b/2251101_af36168d_90s-fest-2026_1024.webp,https://www.skiddle.com/festivals/90s-fest/,2026-07-10,2026-07-10T17:00:00+00:00,2026-07-12T23:00:00+00:00,90s Fest returns bigger than ever at Don Valley Bowl. 3 days of nostalgia 10-12 July with UB40 and FIVE headlining. Don't miss it.,"{'doorsopen': '17:00', 'doorsclose': '23:00', 'lastentry': '16:00'}",18,,0,0,true,"{'minPrice': 21.44, 'maxPrice': 99.5}",,public,,true,{'enabled': False},#f8f8d8,GBP,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object],[object Object]",,1807,"{'id': 1807, 'name': ""90's Fest 2026"", 'earliestStartDate': None}"
